Player,Position,Date of Birth,Age,Caps,Team
George Chuter,Hooker,1976-07-09,34,24,England
Dylan Hartley,Hooker,1986-03-24,24,23,England
Steve Thompson,Hooker,1978-07-15,32,61,England
Dan Cole,Prop,1987-05-09,23,11,England
Alex Corbisiero,Prop,1988-08-30,22,0,England
Paul Doran-Jones,Prop,1985-05-02,25,1,England
Tim Payne,Prop,1979-04-29,31,22,England
Andrew Sheridan,Prop,1979-11-01,31,36,England
David Wilson,Prop,1985-04-09,25,15,England
Louis Deacon,Lock,1980-10-07,30,18,England
Courtney Lawes,Lock,1989-02-23,21,8,England
Tom Palmer,Lock,1979-03-27,31,20,England
Simon Shaw,Lock,1973-09-01,37,61,England
George Skivington,Lock,1982-12-03,28,0,England
Tom Croft,Flanker,1985-11-07,25,22,England
Hendre Fourie,Flanker,1979-09-19,31,4,England
James Haskell,Flanker,1985-04-02,25,29,England
Lewis Moody (c),Flanker,1978-06-12,32,66,England
Chris Robshaw,Flanker,1986-06-04,24,1,England
Tom Wood,Flanker,1986-11-03,24,0,England
Joe Worsley,Flanker,1977-06-14,33,77,England
Phil Dowson,Number 8,1981-10-01,29,0,England
Nick Easter,Number 8,1978-08-15,32,38,England
Danny Care,Scrum-half,1987-01-02,24,25,England
Joe Simpson,Scrum-half,1988-07-05,22,0,England
Ben Youngs,Scrum-half,1989-09-05,21,7,England
Toby Flood,Fly-half,1985-08-08,25,35,England
Charlie Hodgson,Fly-half,1980-11-12,30,34,England
Jonny Wilkinson,Fly-half,1979-05-25,31,80,England
Riki Flutey,Centre,1980-02-10,30,13,England
Shontayne Hape,Centre,1981-01-30,30,6,England
Mike Tindall,Centre,1978-10-18,32,66,England
Chris Ashton,Wing,1987-03-29,23,7,England
Matt Banahan,Wing,1986-12-30,24,7,England
Mark Cueto,Wing,1979-12-26,31,45,England
James Simpson-Daniel,Wing,1982-05-30,28,10,England
David Strettle,Wing,1983-07-23,27,6,England
Nick Abendanon,Fullback,1986-08-27,24,2,England
Ben Foden,Fullback,1985-07-22,25,10,England
Guilhem Guirado,Hooker,1986-06-17,24,6,France
William Servat,Hooker,1978-02-09,32,32,France
Luc Ducalcon,Prop,1984-01-02,27,3,France
Thomas Domingo,Prop,1985-08-20,25,13,France
Sylvain Marconnet,Prop,1976-04-08,34,80,France
Nicolas Mas,Prop,1980-05-23,30,39,France
Lionel Nallet,Lock,1976-09-14,34,57,France
Jérôme Thion,Lock,1977-12-02,33,50,France
Pascal Papé,Lock,1980-10-05,30,26,France
Julien Pierre,Lock,1981-07-31,29,12,France
Julien Bonnaire,Flanker,1978-09-20,32,56,France
Thierry Dusautoir (c),Flanker,1981-11-18,29,37,France
Alexandre Lapandry,Flanker,1989-04-13,21,5,France
Fulgence Ouedraogo,Flanker,1986-07-21,24,22,France
Sébastien Chabal,Number 8,1977-12-08,33,58,France
Imanol Harinordoquy,Number 8,1980-02-20,30,64,France
Morgan Parra,Scrum-half,1988-11-15,22,22,France
Dimitri Yachvili,Scrum-half,1980-09-19,30,47,France
David Skrela,Fly-half,1979-03-02,31,20,France
François Trinh-Duc,Fly-half,1986-11-11,24,22,France
Yannick Jauzion,Centre,1978-07-28,32,70,France
David Marty,Centre,1982-10-30,28,32,France
Maxime Mermoz,Centre,1986-07-28,24,7,France
Aurélien Rougerie,Centre,1980-09-26,30,59,France
Damien Traille,Centre,1979-06-12,31,77,France
Vincent Clerc,Wing,1981-05-07,29,43,France
Yoann Huget,Wing,1987-06-02,23,2,France
Maxime Médard,Wing,1986-11-16,24,15,France
Alexis Palisson,Fullback,1987-09-09,23,12,France
Clément Poitrenaud,Fullback,1982-05-20,28,41,France
Rory Best,Hooker,1982-08-15,28,42,Ireland
Sean Cronin,Hooker,1986-05-06,24,7,Ireland
Jerry Flannery,Hooker,1978-10-17,32,36,Ireland
Tony Buckley,Prop,1980-08-08,30,21,Ireland
Tom Court,Prop,1980-11-06,30,13,Ireland
John Hayes,Prop,1973-11-02,37,104,Ireland
Cian Healy,Prop,1987-10-07,23,13,Ireland
Mike Ross,Prop,1979-12-21,31,2,Ireland
Brett Wilkinson,Prop,1983-11-29,27,0,Ireland
Leo Cullen,Lock,1978-01-09,33,24,Ireland
Mike McCarthy,Lock,1981-11-27,29,0,Ireland
Donncha O'Callaghan,Lock,1979-03-24,31,67,Ireland
Paul O'Connell (vc),Lock,1979-10-20,31,76,Ireland
Mick O'Driscoll,Lock,1978-10-08,32,22,Ireland
Donnacha Ryan,Lock,1983-12-11,27,7,Ireland
Devin Toner,Lock,1986-06-29,24,3,Ireland
Stephen Ferris,Flanker,1985-08-02,25,24,Ireland
Shane Jennings,Flanker,1981-07-08,29,9,Ireland
Denis Leamy,Flanker,1981-11-27,29,46,Ireland
Kevin McLaughlin,Flanker,1984-09-20,38,1,Ireland
Rhys Ruddock,Flanker,1990-11-13,20,1,Ireland
David Wallace,Flanker,1976-07-08,34,66,Ireland
Jamie Heaslip,Number 8,1983-12-15,27,31,Ireland
Seán O'Brien,Number 8,1987-02-14,23,4,Ireland
Tomas O'Leary,Scrum-half,1983-10-20,38,18,Ireland
Eoin Reddan,Scrum-half,1980-11-20,30,24,Ireland
Peter Stringer,Scrum-half,1977-12-13,33,95,Ireland
Ronan O'Gara,Fly-half,1977-03-07,33,103,Ireland
Johnny Sexton,Fly-half,1985-07-11,25,11,Ireland
Gordon D'Arcy,Centre,1980-02-10,30,52,Ireland
Brian O'Driscoll (c),Centre,1979-01-21,32,107,Ireland
Nevin Spence,Centre,1990-04-26,20,0,Ireland
Paddy Wallace,Centre,1979-08-27,31,23,Ireland
Tommy Bowe,Wing,1984-02-22,26,36,Ireland
Keith Earls,Wing,1987-10-02,23,13,Ireland
Shane Horgan,Wing,1978-07-18,32,65,Ireland
Denis Hurley,Wing,1984-07-15,26,1,Ireland
Fergus McFadden,Wing,1986-06-17,24,0,Ireland
Johne Murphy,Wing,1984-11-10,26,0,Ireland
Andrew Trimble,Wing,1984-10-20,26,31,Ireland
Gavin Duffy,Fullback,1981-09-18,29,10,Ireland
Luke Fitzgerald,Fullback,1987-09-13,23,16,Ireland
Carlo Festuccia,Hooker,1980-06-20,30,49,Italy
Leonardo Ghiraldini,Hooker,1984-12-26,26,31,Italy
Fabio Ongaro,Hooker,1977-09-23,33,74,Italy
Martin Castrogiovanni,Prop,1981-10-21,29,71,Italy
Lorenzo Cittadini,Prop,1982-12-17,28,4,Italy
Ignacio Fernandez Rouyet,Prop,1979-12-21,31,7,Italy
Andrea Lo Cicero,Prop,1976-05-07,34,81,Italy
Salvatore Perugini,Prop,1978-03-06,32,75,Italy
Valerio Bernabò,Lock,1984-03-03,26,15,Italy
Carlo Del Fava,Lock,1981-07-01,29,48,Italy
Santiago Dellapè,Lock,1978-05-09,32,60,Italy
Quintin Geldenhuys,Lock,1981-06-19,29,16,Italy
Robert Barbieri,Flanker,1984-06-05,26,10,Italy
Paul Derbyshire,Flanker,1986-07-03,24,8,Italy
Josh Sole,Flanker,1980-02-15,30,46,Italy
Alessandro Zanni,Flanker,1984-01-31,27,47,Italy
Sergio Parisse (c),Number 8,1983-09-12,27,72,Italy
Manoa Vosawai,Number 8,1983-08-12,27,7,Italy
Pablo Canavosio,Scrum-half,1981-12-26,29,32,Italy
Edoardo Gori,Scrum-half,1990-03-05,20,2,Italy
Fabio Semenzato,Scrum-half,1986-05-06,24,0,Italy
Tito Tebaldi,Scrum-half,1987-09-23,23,14,Italy
Kris Burton,Fly-half,1980-08-04,30,4,Italy
Luciano Orquera,Fly-half,1981-10-12,29,17,Italy
Gonzalo Canale,Centre,1982-11-11,28,61,Italy
Gonzalo Garcia,Centre,1984-02-18,26,18,Italy
Matteo Pratichetti,Centre,1985-07-27,25,22,Italy
Alberto Sgarbi,Centre,1986-11-26,24,8,Italy
Tommaso Benvenuti,Wing,1990-12-12,20,3,Italy
Mirco Bergamasco,Wing,1983-02-23,27,76,Italy
Andrea Masi,Wing,1981-03-30,29,55,Italy
Luke McLean,Fullback,1987-06-29,23,24,Italy
Ross Ford,Hooker,1984-04-23,26,43,Scotland
Dougie Hall,Hooker,1980-09-24,30,33,Scotland
Scott Lawson,Hooker,1981-09-28,29,23,Scotland
Geoff Cross,Prop,1982-12-01,28,2,Scotland
Allan Jacobsen,Prop,1978-09-22,32,50,Scotland
Moray Low,Prop,1984-11-28,26,10,Scotland
Euan Murray,Prop,1980-08-07,30,35,Scotland
Jon Welsh,Prop,1986-10-13,24,0,Scotland
Richie Gray,Lock,1989-08-24,21,6,Scotland
Nathan Hines,Lock,1976-11-29,34,67,Scotland
Alastair Kellock (c),Lock,1981-06-14,29,27,Scotland
Scott MacLeod,Lock,1979-03-03,31,23,Scotland
John Barclay,Flanker,1986-11-24,24,23,Scotland
Kelly Brown,Flanker,1982-06-08,28,40,Scotland
Rob Harley,Flanker,1990-05-26,20,0,Scotland
Ross Rennie,Flanker,1986-03-29,24,4,Scotland
Alasdair Strokosch,Flanker,1983-02-21,27,17,Scotland
Johnnie Beattie,Number 8,1985-11-21,25,14,Scotland
Richie Vernon,Number 8,1987-07-07,23,6,Scotland
Mike Blair,Scrum-half,1981-04-20,29,66,Scotland
Rory Lawson,Scrum-half,1981-03-12,29,22,Scotland
Greig Laidlaw,Scrum-half,1985-10-12,25,1,Scotland
Ruaridh Jackson,Fly-half,1988-02-12,22,2,Scotland
Dan Parks,Fly-half,1978-05-26,32,56,Scotland
Joe Ansbro,Centre,1985-10-29,25,2,Scotland
Nick De Luca,Centre,1984-02-01,27,19,Scotland
Alex Grove,Centre,1987-11-30,23,3,Scotland
Sean Lamont,Centre,1981-01-15,30,50,Scotland
Simon Danielli,Wing,1979-11-08,31,26,Scotland
Max Evans,Wing,1983-12-28,27,15,Scotland
Rory Lamont,Wing,1982-10-10,28,24,Scotland
Nikki Walker,Wing,1982-03-05,28,18,Scotland
Jack Cuthbert,Fullback,1987-09-03,23,0,Scotland
Chris Paterson,Fullback,1978-03-30,32,101,Scotland
Hugo Southwell,Fullback,1980-05-14,30,57,Scotland
Huw Bennett,Hooker,1983-06-11,27,38,Wales
Richard Hibbard,Hooker,1983-12-13,27,9,Wales
Matthew Rees (c),Hooker,1980-12-09,30,42,Wales
Scott Andrews,Prop,1989-08-01,21,0,Wales
Ryan Bevington,Prop,1988-12-09,22,0,Wales
Paul James,Prop,1982-05-13,28,17,Wales
Craig Mitchell,Prop,1986-05-03,24,4,Wales
John Yapp,Prop,1983-04-09,27,17,Wales
Bradley Davies,Lock,1987-01-09,24,17,Wales
